heldout,train_experiments,method,representation,n_real_train_windows,n_aug,n_aug_positive,n_aug_negative,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330A,TS0330B+TS0330C,real_only,temperature,74,0,0,0,41,11,1.0,1.0,0.88,0.95
TS0330A,TS0330B+TS0330C,real_only,pressure_absolute,74,0,0,0,41,11,0.3424242424242424,0.2163758732626615,0.4782608695652174,0.6
TS0330A,TS0330B+TS0330C,real_only,pressure_shape,74,0,0,0,41,11,0.7151515151515151,0.4004992061810243,0.48,0.6393939393939394
TS0330A,TS0330B+TS0330C,real_only,fusion_absolute,74,0,0,0,41,11,0.9787878787878788,0.9504495504495504,0.7333333333333333,0.8666666666666667
TS0330A,TS0330B+TS0330C,real_only,fusion_shape,74,0,0,0,41,11,0.8939393939393939,0.6285482491364844,0.7586206896551724,0.8833333333333333
TS0330A,TS0330B+TS0330C,classical_classmatched,temperature,74,22,0,22,41,11,1.0,1.0,0.88,0.95
TS0330A,TS0330B+TS0330C,classical_classmatched,pressure_absolute,74,22,0,22,41,11,0.7151515151515152,0.5103408029878618,0.4230769230769231,0.5
TS0330A,TS0330B+TS0330C,classical_classmatched,pressure_shape,74,22,0,22,41,11,0.7303030303030302,0.3929359383306752,0.6111111111111112,0.7666666666666666
TS0330A,TS0330B+TS0330C,classical_classmatched,fusion_absolute,74,22,0,22,41,11,1.0,1.0,0.7857142857142857,0.9
TS0330A,TS0330B+TS0330C,classical_classmatched,fusion_shape,74,22,0,22,41,11,0.9212121212121211,0.6703892067528431,0.7586206896551724,0.8833333333333333
TS0330A,TS0330B+TS0330C,racdiff,temperature,74,22,0,22,41,11,0.987878787878788,0.964967860422406,0.8148148148148148,0.9166666666666669
TS0330A,TS0330B+TS0330C,racdiff,pressure_absolute,74,22,0,22,41,11,0.6787878787878787,0.4445330765663247,0.4230769230769231,0.5
TS0330A,TS0330B+TS0330C,racdiff,pressure_shape,74,22,0,22,41,11,0.6515151515151516,0.3620539078839474,0.5405405405405406,0.6878787878787879
TS0330A,TS0330B+TS0330C,racdiff,fusion_absolute,74,22,0,22,41,11,0.993939393939394,0.9841597796143252,0.7586206896551724,0.8833333333333333
