heldout,method,representation,pair_count,auroc,auprc,f1,balanced_accuracy,aug_mean,aug_pos_mean
TS0330A,classical_classmatched,fusion_absolute,3,1.0,1.0,0.4029304029304029,0.6333333333333333,13.333333333333334,0.0
TS0330A,classical_classmatched,fusion_shape,3,0.9242424242424242,0.7702934669441847,0.7571470674918951,0.8777777777777778,13.333333333333334,0.0
TS0330A,classical_classmatched,pressure_absolute,3,0.780808080808081,0.6266203844783358,0.3156288156288156,0.5555555555555555,13.333333333333334,0.0
TS0330A,classical_classmatched,pressure_shape,3,0.7363636363636363,0.48575440472322917,0.5807636905197882,0.7333333333333334,13.333333333333334,0.0
TS0330A,classical_classmatched,temperature,3,1.0,1.0,0.8093827160493827,0.9111111111111111,13.333333333333334,0.0
TS0330A,racdiff,fusion_absolute,3,0.9979797979797981,0.9947199265381084,0.39389920424403185,0.6277777777777778,13.333333333333334,0.0
TS0330A,racdiff,fusion_shape,3,0.8808080808080808,0.7004817822929278,0.7408326440584506,0.8666666666666666,13.333333333333334,0.0
TS0330A,racdiff,pressure_absolute,3,0.6656565656565657,0.5110666060179683,0.3156288156288156,0.5555555555555555,13.333333333333334,0.0
TS0330A,racdiff,pressure_shape,3,0.7121212121212123,0.47820209731602265,0.5520244249384173,0.7015151515151515,13.333333333333334,0.0
TS0330A,racdiff,temperature,3,0.995959595959596,0.988322620140802,0.7689229459344401,0.888888888888889,13.333333333333334,0.0
TS0330A,real_only,fusion_absolute,3,0.9929292929292929,0.9834831834831834,0.38547008547008543,0.6222222222222222,0.0,0.0
TS0330A,real_only,fusion_shape,3,0.9151515151515152,0.756346481072065,0.7684291187739464,0.8833333333333333,0.0,0.0
TS0330A,real_only,pressure_absolute,3,0.7454545454545455,0.669861725046898,0.6118012422360248,0.7237373737373737,0.0,0.0
TS0330A,real_only,pressure_shape,3,0.7363636363636363,0.4989077290634663,0.5318442447582371,0.6853535353535354,0.0,0.0
TS0330A,real_only,temperature,3,1.0,1.0,0.8198290598290598,0.9166666666666666,0.0,0.0
TS0330B,classical_classmatched,fusion_absolute,3,0.9924242424242423,0.9734247234247234,0.31372549019607837,0.6616161616161617,41.666666666666664,21.0
TS0330B,classical_classmatched,fusion_shape,3,0.9684343434343434,0.871720177970178,0.6889770570984992,0.8630050505050505,41.666666666666664,21.0
TS0330B,classical_classmatched,pressure_absolute,3,0.3547979797979797,0.17296987948742493,0.2176870748299319,0.5,41.666666666666664,21.0
TS0330B,classical_classmatched,pressure_shape,3,0.21843434343434334,0.14094587230447983,0.06073153899240854,0.2796717171717172,41.666666666666664,21.0
TS0330B,classical_classmatched,temperature,3,1.0,1.0,0.6238631525987848,0.8484848484848485,41.666666666666664,21.0
