method,representation,auroc_mean,auroc_worst,auprc_mean,auprc_worst,f1_mean,balanced_acc_mean
classical_classmatched,fusion_absolute,0.9553712175871267,0.7757936507936508,0.948474401932191,0.7960802062760588,0.48790338126997,0.7126741927557145
classical_classmatched,fusion_shape,0.9137852678234759,0.7956349206349206,0.7977987204925634,0.44761904761904764,0.6510222949838967,0.8164213858303532
classical_classmatched,pressure_absolute,0.5710092106205413,0.3547979797979797,0.4523464482280266,0.17296987948742493,0.3287441485927667,0.49763817980529934
classical_classmatched,pressure_shape,0.5190071532582238,0.21843434343434334,0.38211241919319777,0.14094587230447983,0.3475202707274977,0.53242484694251
classical_classmatched,temperature,0.9642857142857143,0.7142857142857143,0.971889400921659,0.7751152073732719,0.7230581643324556,0.8677537212183952
racdiff,fusion_absolute,0.9838008421152361,0.9314285714285715,0.9730264159992245,0.8963718820861678,0.4556915625411002,0.710005051812117
racdiff,fusion_shape,0.947535302480543,0.8808080808080808,0.8666809741107142,0.7004817822929278,0.6663853251055215,0.8358683104335278
racdiff,pressure_absolute,0.5135894480677913,0.37952898550724634,0.38042966655147015,0.12231778570013863,0.3111069326084469,0.515327380952381
racdiff,pressure_shape,0.5409540496406439,0.22095959595959594,0.39678788804902027,0.14792626644131798,0.3792882102368743,0.5531110601355166
racdiff,temperature,0.9980068542568543,0.9880952380952381,0.994770486247759,0.9698412698412696,0.7292123494244415,0.8783761528326746
real_only,fusion_absolute,0.9425253180766191,0.746031746031746,0.9200714922270599,0.781468746307456,0.43073393095473966,0.6766481978166761
real_only,fusion_shape,0.9126374113095951,0.7579365079365079,0.803663338295861,0.5481481481481482,0.6720156144381039,0.8295530126576323
real_only,pressure_absolute,0.8143552042794467,0.5961904761904762,0.7005855554142993,0.3223025431358764,0.4340147315250925,0.6346957933370977
real_only,pressure_shape,0.5998271513443615,0.3396464646464646,0.4354020999593666,0.1630596255596255,0.38017792176109005,0.5827141759206976
real_only,temperature,0.9722222222222222,0.7777777777777778,0.9746836368956184,0.7974690951649478,0.7177522931119816,0.8639153373800114
