heldout,k_real_train_experiments,train_experiments,method,representation,n_real_train_windows,n_aug,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330A,2,TS0330B+TS0330C,real_only,temperature,74,0,41,11,1.0,1.0,0.88,0.95
TS0330A,2,TS0330B+TS0330C,real_only,fusion_absolute,74,0,41,11,0.9787878787878788,0.9504495504495504,0.7333333333333333,0.8666666666666667
TS0330A,2,TS0330B+TS0330C,classical_anchor_matched,temperature,74,33,41,11,0.990909090909091,0.975068870523416,0.88,0.95
TS0330A,2,TS0330B+TS0330C,classical_anchor_matched,fusion_absolute,74,33,41,11,1.0,1.0,0.8148148148148148,0.9166666666666669
TS0330A,2,TS0330B+TS0330C,racdiff,temperature,74,33,41,11,0.990909090909091,0.975068870523416,0.9166666666666666,0.9666666666666668
TS0330A,2,TS0330B+TS0330C,racdiff,fusion_absolute,74,33,41,11,1.0,1.0,0.8148148148148148,0.9166666666666669
TS0330A,4,TS0330B+TS0330C+TS0330D+TS0330E,real_only,temperature,145,0,41,11,0.996969696969697,0.9924242424242424,0.88,0.95
TS0330A,4,TS0330B+TS0330C+TS0330D+TS0330E,real_only,fusion_absolute,145,0,41,11,1.0,1.0,0.9,0.9090909090909092
TS0330A,4,TS0330B+TS0330C+TS0330D+TS0330E,classical_anchor_matched,temperature,145,10,41,11,0.996969696969697,0.9924242424242424,0.8461538461538461,0.9333333333333332
TS0330A,4,TS0330B+TS0330C+TS0330D+TS0330E,classical_anchor_matched,fusion_absolute,145,10,41,11,1.0,1.0,0.8421052631578947,0.8636363636363636
TS0330A,4,TS0330B+TS0330C+TS0330D+TS0330E,racdiff,temperature,145,10,41,11,0.987878787878788,0.964967860422406,0.8148148148148148,0.9166666666666669
TS0330A,4,TS0330B+TS0330C+TS0330D+TS0330E,racdiff,fusion_absolute,145,10,41,11,0.993939393939394,0.9841597796143252,0.8421052631578947,0.8636363636363636
TS0330A,6,TS0330B+TS0330C+TS0330D+TS0330E+TS0330F+TS0330G,real_only,temperature,209,0,41,11,1.0,1.0,0.8461538461538461,0.9333333333333332
