k_real_train_experiments,method,representation,auroc_mean,auroc_worst,auprc_mean,auprc_worst,f1_mean
2,classical_anchor_matched,fusion_absolute,0.9759260625737899,0.8966942148760331,0.9620086816777993,0.8468864468864468,0.5053333213627331
2,classical_anchor_matched,temperature,0.9824945887445887,0.8690476190476191,0.9744162885539891,0.8202614379084967,0.7105973947550034
2,racdiff,fusion_absolute,0.9865702479338843,0.8925619834710744,0.9800430778371955,0.8403446226975638,0.5207654262002088
2,racdiff,temperature,0.9988636363636364,0.990909090909091,0.9968836088154269,0.975068870523416,0.739615482556659
2,real_only,fusion_absolute,0.9378615702479338,0.75,0.9027777500810995,0.6601648351648352,0.4667016806722689
2,real_only,temperature,0.9880952380952381,0.9047619047619048,0.9802721088435374,0.8421768707482993,0.7088025525525525
4,classical_anchor_matched,fusion_absolute,0.9647949735449736,0.75,0.9672611369109048,0.7817460317460316,0.6159552289815448
4,classical_anchor_matched,temperature,0.9996212121212121,0.996969696969697,0.9990530303030303,0.9924242424242424,0.7207363899140214
4,racdiff,fusion_absolute,0.9922715247715248,0.9761904761904762,0.9798836345833098,0.9325396825396824,0.6344453645769434
4,racdiff,temperature,0.9984848484848485,0.987878787878788,0.9956209825528007,0.964967860422406,0.7168190109966426
4,real_only,fusion_absolute,0.9732308201058201,0.8154761904761905,0.971225575250343,0.8003663003663002,0.616291747468218
4,real_only,temperature,0.9991582491582491,0.9962962962962962,0.998532196969697,0.9924242424242424,0.7181736808839212
6,classical_anchor_matched,fusion_absolute,0.9584367484367484,0.7142857142857143,0.9610856678392178,0.7751152073732719,0.7030314296582961
6,classical_anchor_matched,temperature,1.0,1.0,1.0,0.9999999999999998,0.7349664419837054
6,racdiff,fusion_absolute,0.9947958754208754,0.9848484848484848,0.9884109703427886,0.9585576040121496,0.7195841751584101
6,racdiff,temperature,1.0,1.0,1.0,0.9999999999999998,0.7406853962320714
6,real_only,fusion_absolute,0.9571320346320347,0.7142857142857143,0.9587204187092628,0.7751152073732719,0.7196955969502745
6,real_only,temperature,0.9851190476190477,0.8809523809523809,0.9783350840336135,0.8266806722689075,0.7244388976326316
