k,representation,method,metric,mean_delta_vs_real,ci_low,ci_high,improved_experiments,n_experiments,exact_signflip_p
2,fusion_absolute,racdiff,auroc,0.04870867768595041,0.003099173553718998,0.11120867768595041,4,8,0.125
2,fusion_absolute,racdiff,auprc,0.07726532775609599,0.006193806193806203,0.16798640103765308,4,8,0.125
2,fusion_absolute,classical_anchor_matched,auroc,0.03806449232585597,0.004132231404958664,0.0814799783549784,4,8,0.125
2,fusion_absolute,classical_anchor_matched,auprc,0.05923093159669984,0.006193806193806203,0.14359528240576624,4,8,0.125
2,temperature,racdiff,auroc,0.010768398268398274,-0.0034090909090908894,0.03571428571428571,1,8,1.0
2,temperature,racdiff,auprc,0.016611499971889557,-0.009349173553719017,0.05918367346938769,1,8,1.0
2,temperature,classical_anchor_matched,auroc,-0.005600649350649342,-0.014529220779220767,0.0,0,8,0.5
2,temperature,classical_anchor_matched,auprc,-0.0058558202895483275,-0.014074107604474292,0.0,0,8,0.5
4,fusion_absolute,racdiff,auroc,0.01904070466570465,-0.0058008658008658065,0.06136213323713323,2,8,0.75
4,fusion_absolute,racdiff,auprc,0.0086580593329669,-0.021506553070699014,0.04946075861780906,2,8,0.875
4,fusion_absolute,classical_anchor_matched,auroc,-0.008435846560846588,-0.025267857142857147,0.0009259259259258856,1,8,0.5
4,fusion_absolute,classical_anchor_matched,auprc,-0.0039644383394383115,-0.010351800976800912,0.001190476190476214,1,8,0.5
4,temperature,racdiff,auroc,-0.0006734006734006454,-0.0034090909090908478,0.0013888888888889117,1,8,1.0
4,temperature,racdiff,auprc,-0.0029112144168962073,-0.010296143250688658,0.001562500000000036,1,8,1.0
4,temperature,classical_anchor_matched,auroc,0.00046296296296297057,0.0,0.0013888888888889117,1,8,1.0
4,temperature,classical_anchor_matched,auprc,0.0005208333333333454,0.0,0.001562500000000036,1,8,1.0
6,fusion_absolute,racdiff,auroc,0.037663840788840774,0.00037878787878786735,0.107604316979317,3,8,0.25
6,fusion_absolute,racdiff,auprc,0.029690551633525755,0.001420454545454558,0.08144746407592203,3,8,0.25
6,fusion_absolute,classical_anchor_matched,auroc,0.0013047138047137669,0.0,0.003156565656565566,2,8,0.5
6,fusion_absolute,classical_anchor_matched,auprc,0.002365249129955005,0.0,0.005675292844410457,2,8,0.5
6,temperature,racdiff,auroc,0.014880952380952384,0.0,0.04464285714285715,1,8,1.0
6,temperature,racdiff,auprc,0.021664915966386533,0.0,0.0649947478991596,1,8,1.0
6,temperature,classical_anchor_matched,auroc,0.014880952380952384,0.0,0.04464285714285715,1,8,1.0
6,temperature,classical_anchor_matched,auprc,0.021664915966386533,0.0,0.0649947478991596,1,8,1.0
