heldout,k_real_train_experiments,combo_id,train_experiments,representation,n_train_windows,n_test_windows,train_positive,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330A,2,0,TS0330B+TS0330C,temperature,74,41,11,11,1.0,1.0,0.88,0.95
TS0330A,2,0,TS0330B+TS0330C,pressure_absolute,74,41,11,11,0.34242424242424246,0.21637587326266156,0.4782608695652174,0.6
TS0330A,2,0,TS0330B+TS0330C,pressure_shape,74,41,11,11,0.7151515151515151,0.40049920618102436,0.48,0.6393939393939394
TS0330A,2,0,TS0330B+TS0330C,fusion_absolute,74,41,11,11,0.9787878787878788,0.9504495504495505,0.7333333333333333,0.8666666666666667
TS0330A,2,0,TS0330B+TS0330C,fusion_shape,74,41,11,11,0.8939393939393939,0.6285482491364844,0.7586206896551724,0.8833333333333333
TS0330A,2,1,TS0330B+TS0330D,temperature,73,41,15,11,1.0,1.0,0.88,0.95
TS0330A,2,1,TS0330B+TS0330D,pressure_absolute,73,41,15,11,0.4666666666666667,0.2530446787900764,0.47058823529411764,0.6136363636363636
TS0330A,2,1,TS0330B+TS0330D,pressure_shape,73,41,15,11,0.6,0.3300382432410168,0.4,0.5348484848484849
TS0330A,2,1,TS0330B+TS0330D,fusion_absolute,73,41,15,11,1.0,1.0,0.88,0.95
TS0330A,2,1,TS0330B+TS0330D,fusion_shape,73,41,15,11,0.8939393939393939,0.6042817031453396,0.7857142857142857,0.9
TS0330A,2,2,TS0330B+TS0330E,temperature,80,41,24,11,1.0,1.0,0.88,0.95
TS0330A,2,2,TS0330B+TS0330E,pressure_absolute,80,41,24,11,0.9242424242424243,0.8076913282795636,0.75,0.8424242424242425
TS0330A,2,2,TS0330B+TS0330E,pressure_shape,80,41,24,11,0.8121212121212121,0.49962982923509236,0.5789473684210527,0.7333333333333334
TS0330A,2,2,TS0330B+TS0330E,fusion_absolute,80,41,24,11,1.0,1.0,0.9523809523809523,0.9545454545454546
TS0330A,2,2,TS0330B+TS0330E,fusion_shape,80,41,24,11,0.9787878787878788,0.9254656959202415,0.7857142857142857,0.9
TS0330A,2,3,TS0330B+TS0330F,temperature,74,41,19,11,1.0,1.0,0.8461538461538461,0.9333333333333333
TS0330A,2,3,TS0330B+TS0330F,pressure_absolute,74,41,19,11,0.5333333333333333,0.2762422246489599,0.14814814814814814,0.35757575757575755
TS0330A,2,3,TS0330B+TS0330F,pressure_shape,74,41,19,11,0.5454545454545454,0.30347349628495346,0.3870967741935484,0.5393939393939393
TS0330A,2,3,TS0330B+TS0330F,fusion_absolute,74,41,19,11,1.0,1.0,0.9523809523809523,0.9545454545454546
TS0330A,2,3,TS0330B+TS0330F,fusion_shape,74,41,19,11,0.793939393939394,0.4843215264267896,0.7096774193548387,0.85
TS0330A,2,4,TS0330B+TS0330G,temperature,72,41,15,11,1.0,1.0,0.88,0.95
TS0330A,2,4,TS0330B+TS0330G,pressure_absolute,72,41,15,11,0.42424242424242425,0.2391174275990986,0.0,0.3333333333333333
TS0330A,2,4,TS0330B+TS0330G,pressure_shape,72,41,15,11,0.5181818181818183,0.42130415047924397,0.3076923076923077,0.4984848484848485
TS0330A,2,4,TS0330B+TS0330G,fusion_absolute,72,41,15,11,0.712121212121212,0.37624152163625846,0.10526315789473684,0.42878787878787883
TS0330A,2,4,TS0330B+TS0330G,fusion_shape,72,41,15,11,0.9121212121212121,0.7635011453193271,0.7857142857142857,0.9
TS0330A,2,5,TS0330B+TS0330H,temperature,74,41,23,11,1.0,1.0,0.7586206896551724,0.8833333333333333
TS0330A,2,5,TS0330B+TS0330H,pressure_absolute,74,41,23,11,0.5151515151515151,0.26923278351893587,0.0,0.45
TS0330A,2,5,TS0330B+TS0330H,pressure_shape,74,41,23,11,0.596969696969697,0.4427001756413521,0.2727272727272727,0.5030303030303029
TS0330A,2,5,TS0330B+TS0330H,fusion_absolute,74,41,23,11,0.806060606060606,0.48247585005606397,0.21052631578947367,0.49090909090909096
TS0330A,2,5,TS0330B+TS0330H,fusion_shape,74,41,23,11,0.8363636363636363,0.5820609871412011,0.45454545454545453,0.6272727272727273
TS0330A,2,6,TS0330C+TS0330D,temperature,65,41,10,11,1.0,1.0,0.88,0.95
TS0330A,2,6,TS0330C+TS0330D,pressure_absolute,65,41,10,11,0.8060606060606061,0.47393371709442633,0.0,0.5
TS0330A,2,6,TS0330C+TS0330D,pressure_shape,65,41,10,11,0.7242424242424242,0.38948234317747527,0.36363636363636365,0.5651515151515152
TS0330A,2,6,TS0330C+TS0330D,fusion_absolute,65,41,10,11,1.0,1.0,0.0,0.5
TS0330A,2,6,TS0330C+TS0330D,fusion_shape,65,41,10,11,0.9151515151515152,0.6661323524959888,0.8461538461538461,0.9333333333333333
TS0330A,2,7,TS0330C+TS0330E,temperature,72,41,19,11,0.9878787878787879,0.9649678604224059,0.8148148148148148,0.9166666666666667
TS0330A,2,7,TS0330C+TS0330E,pressure_absolute,72,41,19,11,0.9939393939393939,0.9860139860139859,0.0,0.5
TS0330A,2,7,TS0330C+TS0330E,pressure_shape,72,41,19,11,0.8636363636363636,0.8111629111629112,0.5142857142857142,0.6590909090909092
TS0330A,2,7,TS0330C+TS0330E,fusion_absolute,72,41,19,11,1.0,1.0,0.0,0.5
TS0330A,2,7,TS0330C+TS0330E,fusion_shape,72,41,19,11,0.9939393939393939,0.9841597796143252,0.8148148148148148,0.9166666666666667
TS0330A,2,8,TS0330C+TS0330F,temperature,66,41,14,11,1.0,1.0,0.8461538461538461,0.9333333333333333
TS0330A,2,8,TS0330C+TS0330F,pressure_absolute,66,41,14,11,0.8787878787878789,0.737222233390964,0.0,0.5
TS0330A,2,8,TS0330C+TS0330F,pressure_shape,66,41,14,11,0.7212121212121212,0.3964121929763641,0.48,0.6393939393939394
TS0330A,2,8,TS0330C+TS0330F,fusion_absolute,66,41,14,11,1.0,1.0,0.0,0.5
TS0330A,2,8,TS0330C+TS0330F,fusion_shape,66,41,14,11,0.7757575757575758,0.4488347093223254,0.7096774193548387,0.85
TS0330A,2,9,TS0330C+TS0330G,temperature,64,41,10,11,0.996969696969697,0.9924242424242425,0.7857142857142857,0.9
TS0330A,2,9,TS0330C+TS0330G,pressure_absolute,64,41,10,11,0.8090909090909091,0.605073310527856,0.0,0.5
TS0330A,2,9,TS0330C+TS0330G,pressure_shape,64,41,10,11,0.8696969696969696,0.7412565106345012,0.6875,0.8333333333333333
TS0330A,2,9,TS0330C+TS0330G,fusion_absolute,64,41,10,11,0.996969696969697,0.9924242424242425,0.7058823529411765,0.7727272727272727
TS0330A,2,9,TS0330C+TS0330G,fusion_shape,64,41,10,11,1.0,1.0,0.7586206896551724,0.8833333333333333
TS0330A,2,10,TS0330C+TS0330H,temperature,66,41,18,11,1.0,1.0,0.7586206896551724,0.8833333333333333
TS0330A,2,10,TS0330C+TS0330H,pressure_absolute,66,41,18,11,0.7,0.39244743472016197,0.0,0.5
TS0330A,2,10,TS0330C+TS0330H,pressure_shape,66,41,18,11,0.8636363636363635,0.7381716322892794,0.5333333333333333,0.6818181818181819
TS0330A,2,10,TS0330C+TS0330H,fusion_absolute,66,41,18,11,1.0,1.0,0.0,0.5
TS0330A,2,10,TS0330C+TS0330H,fusion_shape,66,41,18,11,0.7909090909090909,0.4529710141939244,0.4,0.5984848484848485
TS0330A,2,11,TS0330D+TS0330E,temperature,71,41,23,11,1.0,1.0,0.8461538461538461,0.9333333333333333
TS0330A,2,11,TS0330D+TS0330E,pressure_absolute,71,41,23,11,0.9696969696969696,0.9436674436674436,0.8333333333333334,0.9045454545454545
TS0330A,2,11,TS0330D+TS0330E,pressure_shape,71,41,23,11,0.8787878787878788,0.7681649776615452,0.5789473684210527,0.7333333333333334
TS0330A,2,11,TS0330D+TS0330E,fusion_absolute,71,41,23,11,1.0,1.0,0.0,0.5
TS0330A,2,11,TS0330D+TS0330E,fusion_shape,71,41,23,11,1.0,1.0,0.88,0.95
TS0330A,2,12,TS0330D+TS0330F,temperature,65,41,18,11,1.0,1.0,0.8148148148148148,0.9166666666666667
TS0330A,2,12,TS0330D+TS0330F,pressure_absolute,65,41,18,11,0.9151515151515153,0.8269723896518154,0.6875,0.8333333333333333
TS0330A,2,12,TS0330D+TS0330F,pressure_shape,65,41,18,11,0.7636363636363636,0.42450209748971357,0.5641025641025641,0.7166666666666667
TS0330A,2,12,TS0330D+TS0330F,fusion_absolute,65,41,18,11,1.0,1.0,0.9523809523809523,0.9545454545454546
TS0330A,2,12,TS0330D+TS0330F,fusion_shape,65,41,18,11,0.9696969696969697,0.893986568986569,0.7857142857142857,0.9
TS0330A,2,13,TS0330D+TS0330G,temperature,63,41,14,11,1.0,1.0,0.7586206896551724,0.8833333333333333
TS0330A,2,13,TS0330D+TS0330G,pressure_absolute,63,41,14,11,0.8878787878787879,0.7558339321497217,0.6470588235294118,0.8
TS0330A,2,13,TS0330D+TS0330G,pressure_shape,63,41,14,11,0.5848484848484848,0.3066123718859851,0.5238095238095238,0.6666666666666666
TS0330A,2,13,TS0330D+TS0330G,fusion_absolute,63,41,14,11,1.0,1.0,0.9565217391304348,0.9833333333333334
TS0330A,2,13,TS0330D+TS0330G,fusion_shape,63,41,14,11,0.9,0.6455718523900342,0.6666666666666666,0.8166666666666667
TS0330A,2,14,TS0330D+TS0330H,temperature,65,41,22,11,1.0,1.0,0.7586206896551724,0.8833333333333333
TS0330A,2,14,TS0330D+TS0330H,pressure_absolute,65,41,22,11,0.8878787878787879,0.7600005988163884,0.0,0.5
TS0330A,2,14,TS0330D+TS0330H,pressure_shape,65,41,22,11,0.8666666666666666,0.7364710999667375,0.5641025641025641,0.7166666666666667
TS0330A,2,14,TS0330D+TS0330H,fusion_absolute,65,41,22,11,1.0,1.0,0.0,0.5
TS0330A,2,14,TS0330D+TS0330H,fusion_shape,65,41,22,11,1.0,1.0,0.8461538461538461,0.9333333333333333
TS0330A,2,15,TS0330E+TS0330F,temperature,72,41,27,11,1.0,1.0,0.8148148148148148,0.9166666666666667
TS0330A,2,15,TS0330E+TS0330F,pressure_absolute,72,41,27,11,0.9696969696969696,0.9436674436674436,0.6111111111111112,0.7666666666666666
TS0330A,2,15,TS0330E+TS0330F,pressure_shape,72,41,27,11,0.896969696969697,0.828848193966771,0.5945945945945946,0.75
TS0330A,2,15,TS0330E+TS0330F,fusion_absolute,72,41,27,11,1.0,1.0,0.9523809523809523,0.9545454545454546
