heldout,train_experiments,method,architecture,n_real_train_windows,n_aug,n_test_windows,test_positive,auroc,auprc,f1,balanced_accuracy
TS0330A,TS0330B+TS0330C,real_only,cnn,74,0,41,11,1.0,1.0,0.0,0.5
TS0330A,TS0330B+TS0330C,real_only,gru,74,0,41,11,1.0,1.0,1.0,1.0
TS0330A,TS0330B+TS0330C,classical_anchor_matched,cnn,74,17,41,11,1.0,1.0,0.0,0.5
TS0330A,TS0330B+TS0330C,classical_anchor_matched,gru,74,17,41,11,1.0,1.0,0.9565217391304348,0.9833333333333334
TS0330A,TS0330B+TS0330C,racdiff,cnn,74,17,41,11,1.0,1.0,0.0,0.5
TS0330A,TS0330B+TS0330C,racdiff,gru,74,17,41,11,1.0,1.0,1.0,1.0
TS0330A,TS0330D+TS0330E,real_only,cnn,71,0,41,11,1.0,1.0,0.0,0.5
TS0330A,TS0330D+TS0330E,real_only,gru,71,0,41,11,1.0,1.0,0.0,0.5
TS0330A,TS0330D+TS0330E,classical_anchor_matched,cnn,71,30,41,11,1.0,1.0,0.0,0.5
TS0330A,TS0330D+TS0330E,classical_anchor_matched,gru,71,30,41,11,1.0,1.0,0.0,0.5
TS0330A,TS0330D+TS0330E,racdiff,cnn,71,30,41,11,1.0,1.0,0.0,0.5
TS0330A,TS0330D+TS0330E,racdiff,gru,71,30,41,11,1.0,1.0,0.0,0.5
TS0330A,TS0330F+TS0330G,real_only,cnn,64,0,41,11,1.0,1.0,0.0,0.5
TS0330A,TS0330F+TS0330G,real_only,gru,64,0,41,11,1.0,1.0,0.4680851063829787,0.5833333333333334
TS0330A,TS0330F+TS0330G,classical_anchor_matched,cnn,64,64,41,11,0.5,0.2682926829268293,0.0,0.5
TS0330A,TS0330F+TS0330G,classical_anchor_matched,gru,64,64,41,11,1.0,1.0,0.4230769230769231,0.5
TS0330A,TS0330F+TS0330G,racdiff,cnn,64,64,41,11,0.5,0.2682926829268293,0.0,0.5
TS0330A,TS0330F+TS0330G,racdiff,gru,64,64,41,11,1.0,1.0,0.4230769230769231,0.5
TS0330B,TS0330C+TS0330D,real_only,cnn,65,0,41,8,1.0,1.0,0.0,0.5
TS0330B,TS0330C+TS0330D,real_only,gru,65,0,41,8,1.0,1.0,0.0,0.5
TS0330B,TS0330C+TS0330D,classical_anchor_matched,cnn,65,65,41,8,1.0,1.0,0.0,0.5
TS0330B,TS0330C+TS0330D,classical_anchor_matched,gru,65,65,41,8,1.0,1.0,0.0,0.5
TS0330B,TS0330C+TS0330D,racdiff,cnn,65,65,41,8,1.0,1.0,0.0,0.5
TS0330B,TS0330C+TS0330D,racdiff,gru,65,65,41,8,1.0,1.0,0.5454545454545454,0.6875
TS0330B,TS0330E+TS0330F,real_only,cnn,72,0,41,8,1.0,1.0,0.0,0.5
TS0330B,TS0330E+TS0330F,real_only,gru,72,0,41,8,1.0,1.0,0.5,0.7575757575757576
TS0330B,TS0330E+TS0330F,classical_anchor_matched,cnn,72,72,41,8,1.0,1.0,0.0,0.5
TS0330B,TS0330E+TS0330F,classical_anchor_matched,gru,72,72,41,8,1.0,1.0,0.5,0.7575757575757576
TS0330B,TS0330E+TS0330F,racdiff,cnn,72,72,41,8,1.0,1.0,0.0,0.5
TS0330B,TS0330E+TS0330F,racdiff,gru,72,72,41,8,1.0,1.0,0.4705882352941176,0.7272727272727273
TS0330B,TS0330G+TS0330H,real_only,cnn,64,0,41,8,0.5,0.1951219512195122,0.0,0.5
TS0330B,TS0330G+TS0330H,real_only,gru,64,0,41,8,1.0,1.0,0.0,0.5
TS0330B,TS0330G+TS0330H,classical_anchor_matched,cnn,64,52,41,8,0.5,0.1951219512195122,0.0,0.5
TS0330B,TS0330G+TS0330H,classical_anchor_matched,gru,64,52,41,8,1.0,1.0,0.0,0.5
TS0330B,TS0330G+TS0330H,racdiff,cnn,64,52,41,8,0.5,0.1951219512195122,0.0,0.5
TS0330B,TS0330G+TS0330H,racdiff,gru,64,52,41,8,1.0,1.0,0.0,0.5
TS0330C,TS0330D+TS0330E,real_only,cnn,71,0,33,3,1.0,1.0,0.0,0.5
TS0330C,TS0330D+TS0330E,real_only,gru,71,0,33,3,1.0,1.0,0.0,0.5
TS0330C,TS0330D+TS0330E,classical_anchor_matched,cnn,71,34,33,3,1.0,1.0,0.0,0.5
TS0330C,TS0330D+TS0330E,classical_anchor_matched,gru,71,34,33,3,1.0,1.0,0.0,0.5
TS0330C,TS0330D+TS0330E,racdiff,cnn,71,34,33,3,1.0,1.0,0.0,0.5
TS0330C,TS0330D+TS0330E,racdiff,gru,71,34,33,3,1.0,1.0,0.0,0.5
TS0330C,TS0330F+TS0330G,real_only,cnn,64,0,33,3,1.0,1.0,0.0,0.5
TS0330C,TS0330F+TS0330G,real_only,gru,64,0,33,3,1.0,1.0,0.1935483870967742,0.5833333333333334
TS0330C,TS0330F+TS0330G,classical_anchor_matched,cnn,64,39,33,3,1.0,1.0,0.0,0.5
TS0330C,TS0330F+TS0330G,classical_anchor_matched,gru,64,39,33,3,1.0,1.0,0.2068965517241379,0.6166666666666667
TS0330C,TS0330F+TS0330G,racdiff,cnn,64,39,33,3,1.0,1.0,0.0,0.5
TS0330C,TS0330F+TS0330G,racdiff,gru,64,39,33,3,1.0,1.0,0.2,0.6
TS0330C,TS0330H+TS0330A,real_only,cnn,74,0,33,3,1.0,1.0,0.2857142857142857,0.75
TS0330C,TS0330H+TS0330A,real_only,gru,74,0,33,3,0.9888888888888888,0.9166666666666664,0.375,0.8333333333333333
TS0330C,TS0330H+TS0330A,classical_anchor_matched,cnn,74,0,33,3,1.0,1.0,0.2857142857142857,0.75
TS0330C,TS0330H+TS0330A,classical_anchor_matched,gru,74,0,33,3,0.9888888888888888,0.9166666666666664,0.375,0.8333333333333333
TS0330C,TS0330H+TS0330A,racdiff,cnn,74,0,33,3,1.0,1.0,0.2857142857142857,0.75
TS0330C,TS0330H+TS0330A,racdiff,gru,74,0,33,3,0.9888888888888888,0.9166666666666664,0.375,0.8333333333333333
TS0330D,TS0330A+TS0330B,real_only,cnn,82,0,32,7,1.0,1.0,0.0,0.5
TS0330D,TS0330A+TS0330B,real_only,gru,82,0,32,7,1.0,1.0,0.0,0.5
