heldout,method,architecture,pair_count,auroc,auprc,f1,balanced_accuracy
TS0330A,classical_anchor_matched,cnn,3,0.8333333333333334,0.7560975609756099,0.0,0.5
TS0330A,classical_anchor_matched,gru,3,1.0,1.0,0.459866220735786,0.6611111111111111
TS0330A,racdiff,cnn,3,0.8333333333333334,0.7560975609756099,0.0,0.5
TS0330A,racdiff,gru,3,1.0,1.0,0.4743589743589744,0.6666666666666666
TS0330A,real_only,cnn,3,1.0,1.0,0.0,0.5
TS0330A,real_only,gru,3,1.0,1.0,0.48936170212765956,0.6944444444444445
TS0330B,classical_anchor_matched,cnn,3,0.8333333333333334,0.7317073170731708,0.0,0.5
TS0330B,classical_anchor_matched,gru,3,1.0,1.0,0.16666666666666666,0.5858585858585859
TS0330B,racdiff,cnn,3,0.8333333333333334,0.7317073170731708,0.0,0.5
TS0330B,racdiff,gru,3,1.0,1.0,0.338680926916221,0.6382575757575758
TS0330B,real_only,cnn,3,0.8333333333333334,0.7317073170731708,0.0,0.5
TS0330B,real_only,gru,3,1.0,1.0,0.16666666666666666,0.5858585858585859
TS0330C,classical_anchor_matched,cnn,3,1.0,1.0,0.09523809523809523,0.5833333333333334
TS0330C,classical_anchor_matched,gru,3,0.9962962962962963,0.9722222222222222,0.1939655172413793,0.65
TS0330C,racdiff,cnn,3,1.0,1.0,0.09523809523809523,0.5833333333333334
TS0330C,racdiff,gru,3,0.9962962962962963,0.9722222222222222,0.19166666666666665,0.6444444444444444
TS0330C,real_only,cnn,3,1.0,1.0,0.09523809523809523,0.5833333333333334
TS0330C,real_only,gru,3,0.9962962962962963,0.9722222222222222,0.1895161290322581,0.6388888888888888
TS0330D,classical_anchor_matched,cnn,3,0.8333333333333334,0.7395833333333334,0.0,0.5
TS0330D,classical_anchor_matched,gru,3,1.0,1.0,0.2333333333333333,0.6266666666666666
TS0330D,racdiff,cnn,3,0.8333333333333334,0.7395833333333334,0.0,0.5
TS0330D,racdiff,gru,3,1.0,1.0,0.2333333333333333,0.6266666666666666
TS0330D,real_only,cnn,3,0.8333333333333334,0.7395833333333334,0.0,0.5
TS0330D,real_only,gru,3,1.0,1.0,0.2222222222222222,0.62
TS0330E,classical_anchor_matched,cnn,3,1.0,1.0,0.2735042735042735,0.6159420289855072
TS0330E,classical_anchor_matched,gru,3,1.0,1.0,0.6010582010582011,0.7826086956521738
TS0330E,racdiff,cnn,3,1.0,1.0,0.2735042735042735,0.6159420289855072
TS0330E,racdiff,gru,3,1.0,1.0,0.6010582010582011,0.7826086956521738
TS0330E,real_only,cnn,3,1.0,1.0,0.2735042735042735,0.6159420289855072
TS0330E,real_only,gru,3,1.0,1.0,0.6010582010582011,0.7826086956521738
TS0330F,classical_anchor_matched,cnn,3,0.6666666666666666,0.5555555555555555,0.0,0.5
TS0330F,classical_anchor_matched,gru,3,1.0,1.0,0.31884057971014496,0.6590909090909091
TS0330F,racdiff,cnn,3,0.6666666666666666,0.5555555555555555,0.0,0.5
TS0330F,racdiff,gru,3,1.0,1.0,0.31884057971014496,0.6590909090909091
TS0330F,real_only,cnn,3,1.0,1.0,0.0,0.5
TS0330F,real_only,gru,3,1.0,1.0,0.3333333333333333,0.6666666666666666
TS0330G,classical_anchor_matched,cnn,3,1.0,0.9999999999999997,0.2028985507246377,0.6041666666666666
TS0330G,classical_anchor_matched,gru,3,1.0,0.9999999999999999,0.3916083916083916,0.6944444444444443
TS0330G,racdiff,cnn,3,1.0,0.9999999999999997,0.2028985507246377,0.6041666666666666
TS0330G,racdiff,gru,3,1.0,0.9999999999999997,0.3916083916083916,0.6944444444444443
TS0330G,real_only,cnn,3,1.0,0.9999999999999997,0.2028985507246377,0.6041666666666666
TS0330G,real_only,gru,3,1.0,0.9999999999999997,0.36767676767676766,0.6666666666666666
TS0330H,classical_anchor_matched,cnn,3,0.8333333333333334,0.8181818181818182,0.0,0.5
TS0330H,classical_anchor_matched,gru,3,1.0,1.0,0.5369369369369369,0.7129629629629629
TS0330H,racdiff,cnn,3,0.8333333333333334,0.8181818181818182,0.0,0.5
TS0330H,racdiff,gru,3,1.0,1.0,0.5357142857142857,0.7203703703703704
TS0330H,real_only,cnn,3,0.8333333333333334,0.8181818181818182,0.0,0.5
TS0330H,real_only,gru,3,1.0,1.0,0.5598290598290598,0.7333333333333334
