architecture,contrast,metric,mean_delta,ci_low,ci_high,improved_experiments,n_experiments,exact_signflip_p
cnn,racdiff-real_only,auroc,-0.0625,-0.14583333333333334,0.0,0,8,0.5
cnn,racdiff-real_only,auprc,-0.08604336043360433,-0.20257452574525742,0.0,0,8,0.5
cnn,classical-real_only,auroc,-0.0625,-0.14583333333333334,0.0,0,8,0.5
cnn,classical-real_only,auprc,-0.08604336043360433,-0.20257452574525742,0.0,0,8,0.5
cnn,racdiff-classical,auroc,0.0,0.0,0.0,0,8,1.0
cnn,racdiff-classical,auprc,0.0,0.0,0.0,0,8,1.0
gru,racdiff-real_only,auroc,0.0,0.0,0.0,0,8,1.0
gru,racdiff-real_only,auprc,0.0,0.0,0.0,0,8,1.0
gru,classical-real_only,auroc,0.0,0.0,0.0,0,8,1.0
gru,classical-real_only,auprc,2.7755575615628914e-17,0.0,8.326672684688674e-17,1,8,1.0
gru,racdiff-classical,auroc,0.0,0.0,0.0,0,8,1.0
gru,racdiff-classical,auprc,-2.7755575615628914e-17,-8.326672684688674e-17,0.0,0,8,1.0
