heldout,model,representation,n_train,n_test,mae_s,rmse_s,medae_s,r2,bias_s
TS0330A,huber,temperature,239,41,16.95713392932074,19.85104690977899,15.162083314813913,0.9718525668989825,-2.645638369303005
TS0330A,huber,pressure_absolute,239,41,123.63749235557738,131.70352648711074,128.25487240296297,-0.23898706351007726,71.28253545444352
TS0330A,huber,pressure_shape,239,41,114.04782056729317,134.74225972716687,110.69524343241028,-0.29681975402737804,-33.07299496229827
TS0330A,huber,fusion_absolute,239,41,89.17863100323403,90.589066178303,92.93352377629196,0.4138300777816456,89.17863100323403
TS0330A,huber,fusion_shape,239,41,30.405461726964777,35.33223517205519,30.728202574653437,0.9108309398390418,5.366036042012165
TS0330A,rf,temperature,239,41,14.994404280450746,21.866255097297785,7.7492647205456535,0.9658476348585642,5.757127558701887
TS0330A,rf,pressure_absolute,239,41,99.46519239173469,118.1385559287268,79.20378121120052,0.003091543076792158,-15.809512559466933
TS0330A,rf,pressure_shape,239,41,99.09076792814503,123.50495807433904,107.79753914983024,-0.0895339049245889,-30.90178205124732
TS0330A,rf,fusion_absolute,239,41,35.43943763225495,38.96730641419359,39.51975209134764,0.8915392164873105,26.52840015199595
TS0330A,rf,fusion_shape,239,41,20.88738173599919,28.464738162325276,16.00250246412179,0.9421256200964474,-9.622478986192103
TS0330B,huber,temperature,242,38,55.90786491643792,59.2931339335236,63.613726913711076,0.7076361137913707,-53.58388536451667
TS0330B,huber,pressure_absolute,242,38,92.85992196042154,101.47197673119796,96.21976049947921,0.14373704268301235,0.42094741245324485
TS0330B,huber,pressure_shape,242,38,125.88304157863377,144.53500318061128,132.75260617235418,-0.7372446689745793,-70.93421845088781
TS0330B,huber,fusion_absolute,242,38,42.1743989707713,45.68947142780228,44.49746639839094,0.8264010146069056,-35.67442038927769
TS0330B,huber,fusion_shape,242,38,59.36837396675541,64.9853081216039,66.03331739874798,0.6488074618162332,-57.565760224565146
