heldout,train_experiments,method,model,representation,n_real_train_windows,n_aug,n_test_windows,mae_s,rmse_s,medae_s,r2,bias_s
TS0330A,TS0330B+TS0330C,real_only,huber,temperature,71,0,41,58.94515506716122,60.81476606806791,61.90259462914884,0.7358260310393392,58.94515506716122
TS0330A,TS0330B+TS0330C,real_only,huber,pressure_absolute,71,0,41,103.79529775835287,171.08321883066287,34.048915374963485,-1.090676152249801,-100.4374253216541
TS0330A,TS0330B+TS0330C,real_only,huber,pressure_shape,71,0,41,131.519069736636,137.54131119891835,139.97404200823155,-0.3512579450175055,30.776667440442534
TS0330A,TS0330B+TS0330C,real_only,huber,fusion_absolute,71,0,41,34.09658592650927,41.55603103614438,36.05784959832806,0.8766497414947946,32.820226397717704
TS0330A,TS0330B+TS0330C,real_only,huber,fusion_shape,71,0,41,57.73430870607235,66.07383281735206,53.979263928566695,0.6881606328958549,56.42307649782373
TS0330A,TS0330B+TS0330C,real_only,rf,temperature,71,0,41,57.95724922150493,65.43862595162459,51.988115993358576,0.6941276051869464,33.216650668599094
TS0330A,TS0330B+TS0330C,real_only,rf,pressure_absolute,71,0,41,116.32643480045184,134.0653304676507,116.6164076149422,-0.2838222735737123,36.87342558557174
TS0330A,TS0330B+TS0330C,real_only,rf,pressure_shape,71,0,41,127.69985064285068,132.997841772956,136.6047385327729,-0.2634589234864821,35.5581747852483
TS0330A,TS0330B+TS0330C,real_only,rf,fusion_absolute,71,0,41,55.54983241810206,63.75534919820561,49.39377369216544,0.7096611196806117,31.076465900233664
TS0330A,TS0330B+TS0330C,real_only,rf,fusion_shape,71,0,41,57.8136807389477,68.12327653073962,51.90055098934533,0.6685156752705153,29.14460943994248
TS0330A,TS0330B+TS0330C,classical_anchor_matched,huber,temperature,71,60,41,61.35660188948374,62.93214233748966,59.60537126212864,0.717110405850405,61.35660188948374
TS0330A,TS0330B+TS0330C,classical_anchor_matched,huber,pressure_absolute,71,60,41,123.86038104792826,134.9108769958588,125.81349200856602,-0.3000674082662125,9.88582795781113
TS0330A,TS0330B+TS0330C,classical_anchor_matched,huber,pressure_shape,71,60,41,127.90745245999392,132.75911391895002,138.94625186129957,-0.2589272389023562,28.01262656999126
TS0330A,TS0330B+TS0330C,classical_anchor_matched,huber,fusion_absolute,71,60,41,28.316393067452072,38.49477937777296,26.946478286702018,0.8941537173843223,28.00958815851851
TS0330A,TS0330B+TS0330C,classical_anchor_matched,huber,fusion_shape,71,60,41,67.22888766791112,71.8527786360196,71.02803026807152,0.6312270350354894,67.22888766791112
TS0330A,TS0330B+TS0330C,classical_anchor_matched,rf,temperature,71,60,41,59.422833500861486,67.48971090240694,52.60160305775258,0.6746527983274222,33.31641788390018
TS0330A,TS0330B+TS0330C,classical_anchor_matched,rf,pressure_absolute,71,60,41,124.02558625472788,138.949058804691,122.11496776517936,-0.3790599903505878,36.35037540873844
TS0330A,TS0330B+TS0330C,classical_anchor_matched,rf,pressure_shape,71,60,41,114.10883440688336,124.75873224118604,135.7915956070616,-0.1117671715377721,10.707928193789575
TS0330A,TS0330B+TS0330C,classical_anchor_matched,rf,fusion_absolute,71,60,41,57.4648633182153,66.87218484676345,49.32960305842914,0.6805793673901988,30.37523182534218
TS0330A,TS0330B+TS0330C,classical_anchor_matched,rf,fusion_shape,71,60,41,57.8391630246249,66.3041216529144,49.84199598426756,0.6859831212324797,31.653969087334147
TS0330A,TS0330B+TS0330C,racdiff,huber,temperature,71,60,41,51.79694948700646,55.59483674332706,48.82088751863762,0.7792295928589592,46.55484495957001
TS0330A,TS0330B+TS0330C,racdiff,huber,pressure_absolute,71,60,41,106.09843029690856,122.7963405043492,102.60675118551404,-0.0770671713914739,-2.9789599515411034
TS0330A,TS0330B+TS0330C,racdiff,huber,pressure_shape,71,60,41,128.0896128652704,133.59706999057104,143.0909838820018,-0.2748697224067113,27.355965909160915
TS0330A,TS0330B+TS0330C,racdiff,huber,fusion_absolute,71,60,41,33.32532456632581,42.4560528021535,31.506694573881475,0.8712488343632814,28.083502515289304
TS0330A,TS0330B+TS0330C,racdiff,huber,fusion_shape,71,60,41,55.5803863182844,63.34046567607635,45.20899861385709,0.7134275451362753,55.33298712807704
TS0330A,TS0330B+TS0330C,racdiff,rf,temperature,71,60,41,53.759207258690985,56.46414475102242,51.38745256083087,0.7722714668225937,38.45353857461112
TS0330A,TS0330B+TS0330C,racdiff,rf,pressure_absolute,71,60,41,128.03867780908138,142.88247529330772,129.42120961248838,-0.4582429004468726,35.28249694972625
TS0330A,TS0330B+TS0330C,racdiff,rf,pressure_shape,71,60,41,119.72762603964486,127.5577884919228,135.87672400303103,-0.1622134640446273,23.16324785717935
TS0330A,TS0330B+TS0330C,racdiff,rf,fusion_absolute,71,60,41,52.66178175860316,55.87595062134432,51.23511097928679,0.776991308318074,36.28239399398882
TS0330A,TS0330B+TS0330C,racdiff,rf,fusion_shape,71,60,41,52.507229289523735,55.46173405547109,51.64882284851842,0.7802854448055441,36.88362278045064
TS0330A,TS0330D+TS0330E,real_only,huber,temperature,71,0,41,13.207852592563691,17.60751527386672,8.79231281555775,0.9778553873705444,-5.78756517377251
TS0330A,TS0330D+TS0330E,real_only,huber,pressure_absolute,71,0,41,132.2994717172479,139.90810897266377,138.41027410191538,-0.3981627045411302,75.1949670323181
TS0330A,TS0330D+TS0330E,real_only,huber,pressure_shape,71,0,41,138.6412901655926,165.25149964968782,116.97699560798868,-0.95057547228592,-70.28567402836764
TS0330A,TS0330D+TS0330E,real_only,huber,fusion_absolute,71,0,41,273.8116702471223,275.14530634984305,265.0912937339979,-4.4074953842952205,273.8116702471223
TS0330A,TS0330D+TS0330E,real_only,huber,fusion_shape,71,0,41,34.42045212972864,45.51260382536899,19.730480229113937,0.8520430720478867,-32.84743515336513
TS0330A,TS0330D+TS0330E,real_only,rf,temperature,71,0,41,22.84539535822245,54.50156114724398,4.732957870424912,0.7878271427383177,-20.716031898020383
TS0330A,TS0330D+TS0330E,real_only,rf,pressure_absolute,71,0,41,80.3221519400993,97.81579731789591,60.55206945460162,0.3165764520851748,27.379739856378503
TS0330A,TS0330D+TS0330E,real_only,rf,pressure_shape,71,0,41,101.3068822480263,133.00675584406966,58.06787802079617,-0.2636282937555783,-43.73245673814535
TS0330A,TS0330D+TS0330E,real_only,rf,fusion_absolute,71,0,41,22.820555790040217,50.96845797951484,6.317679781173069,0.8144440311579487,-15.810151525660658
TS0330A,TS0330D+TS0330E,real_only,rf,fusion_shape,71,0,41,25.816952892569123,55.75947985554369,7.473654749225773,0.7779200414146652,-24.11108639631218
TS0330A,TS0330D+TS0330E,classical_anchor_matched,huber,temperature,71,49,41,14.517478990547517,18.17941992115295,14.791810366304674,0.9763934792700008,2.3841816806493634
TS0330A,TS0330D+TS0330E,classical_anchor_matched,huber,pressure_absolute,71,49,41,464.9263869692124,487.9559029706862,453.40197229645366,-16.00721071085645,464.9263869692124
TS0330A,TS0330D+TS0330E,classical_anchor_matched,huber,pressure_shape,71,49,41,139.6599364309494,170.9762789438547,114.04115453665898,-1.0880633092546863,-70.01123980772316
TS0330A,TS0330D+TS0330E,classical_anchor_matched,huber,fusion_absolute,71,49,41,264.49007070740856,265.65890096029074,258.0541925829598,-4.04104626568651,264.49007070740856
TS0330A,TS0330D+TS0330E,classical_anchor_matched,huber,fusion_shape,71,49,41,35.25569769387825,42.41826725938303,33.708862949083084,0.8714779073684077,-27.427940656193584
TS0330A,TS0330D+TS0330E,classical_anchor_matched,rf,temperature,71,49,41,28.844520243847967,76.78819792643618,5.508710490793021,0.5788266420269683,-25.869717509419644
TS0330A,TS0330D+TS0330E,classical_anchor_matched,rf,pressure_absolute,71,49,41,107.47247808866788,127.64034635510257,82.53658809127074,-0.1637183648677902,58.62451722489953
TS0330A,TS0330D+TS0330E,classical_anchor_matched,rf,pressure_shape,71,49,41,112.96704377758763,132.23971620683926,114.6535138249011,-0.2490958261598099,-31.999815376459576
TS0330A,TS0330D+TS0330E,classical_anchor_matched,rf,fusion_absolute,71,49,41,28.783482380231195,74.53951965387219,5.048351457816011,0.6031328799957579,-21.940877980531237
TS0330A,TS0330D+TS0330E,classical_anchor_matched,rf,fusion_shape,71,49,41,29.955211778885285,76.84967113094122,6.4817079808472045,0.5781520269114657,-26.84301845842145
TS0330A,TS0330D+TS0330E,racdiff,huber,temperature,71,49,41,13.081412105898794,16.18155541211416,11.18961560922304,0.9812969485044292,-3.774627692894962
TS0330A,TS0330D+TS0330E,racdiff,huber,pressure_absolute,71,49,41,239.19069257924255,277.03573244876213,206.7520511067422,-4.48205662635236,238.0539837091097
TS0330A,TS0330D+TS0330E,racdiff,huber,pressure_shape,71,49,41,138.03127336067246,177.20149011737954,112.66522873106912,-1.2428833104928092,-82.1077216076275
TS0330A,TS0330D+TS0330E,racdiff,huber,fusion_absolute,71,49,41,246.1600619307268,247.40120533690185,238.12087459619715,-3.371953784661513,246.1600619307268
TS0330A,TS0330D+TS0330E,racdiff,huber,fusion_shape,71,49,41,20.07106317355127,25.73896477549952,11.931631261851294,0.952678980662088,-17.9903301965854
TS0330A,TS0330D+TS0330E,racdiff,rf,temperature,71,49,41,30.54131393441328,81.73303373994887,7.5796402273099375,0.5228365406136009,-28.376681053589262
TS0330A,TS0330D+TS0330E,racdiff,rf,pressure_absolute,71,49,41,112.58143593083668,123.90343804340608,115.7579954212294,-0.0965757929964152,44.65177872426404
TS0330A,TS0330D+TS0330E,racdiff,rf,pressure_shape,71,49,41,123.49729425244291,146.27682073085904,107.774789232923,-0.5283505063320684,-18.49812671149283
TS0330A,TS0330D+TS0330E,racdiff,rf,fusion_absolute,71,49,41,31.26121229305661,79.69589181610846,6.845450729196216,0.5463260844430693,-23.0872111090795
TS0330A,TS0330D+TS0330E,racdiff,rf,fusion_shape,71,49,41,32.38889977789701,82.31349075237505,8.584932351103362,0.5160349727428893,-30.03441718826402
TS0330A,TS0330F+TS0330G,real_only,huber,temperature,64,0,41,14.862326252864891,17.320531575070294,15.535755582156185,0.9785713716217492,-8.627921255568888
TS0330A,TS0330F+TS0330G,real_only,huber,pressure_absolute,64,0,41,144.73106458831057,157.37439622339787,143.7009217282839,-0.7690499431487148,104.86523868673208
TS0330A,TS0330F+TS0330G,real_only,huber,pressure_shape,64,0,41,121.56367525044912,145.8448239454303,105.86843852529302,-0.5193365345885352,-48.2061937353844
TS0330A,TS0330F+TS0330G,real_only,huber,fusion_absolute,64,0,41,237.97500829542136,238.3883201582904,239.7970666292548,-3.0592134296730285,-237.97500829542136
TS0330A,TS0330F+TS0330G,real_only,huber,fusion_shape,64,0,41,29.723180814508567,34.877098895347224,31.16079650411882,0.9131134314678696,-13.15820884724056
TS0330A,TS0330F+TS0330G,real_only,rf,temperature,64,0,41,40.77511648926525,64.53402979185014,24.803828045394425,0.7025256593796431,-39.43113552961812
TS0330A,TS0330F+TS0330G,real_only,rf,pressure_absolute,64,0,41,94.54237608032824,114.79170159599448,91.45121051162454,0.0587761414505397,-9.690578110477755
TS0330A,TS0330F+TS0330G,real_only,rf,pressure_shape,64,0,41,103.14243289942344,155.41826219034365,42.183390353075765,-0.7253453481304719,-84.81061240639526
TS0330A,TS0330F+TS0330G,real_only,rf,fusion_absolute,64,0,41,41.32825413875744,64.67307908537266,24.265522293127333,0.7012423625078926,-36.1725751749784
TS0330A,TS0330F+TS0330G,real_only,rf,fusion_shape,64,0,41,41.07307119239889,66.1468820914028,26.150140708648507,0.6874707309887576,-38.94372428370696
TS0330A,TS0330F+TS0330G,classical_anchor_matched,huber,temperature,64,13,41,13.457784685679815,16.045494163426802,12.495694946002857,0.98161015224457,-5.01576212922249
TS0330A,TS0330F+TS0330G,classical_anchor_matched,huber,pressure_absolute,64,13,41,216.080025190846,251.1063292465849,145.24994568320662,-3.5038846476923817,-216.080025190846
TS0330A,TS0330F+TS0330G,classical_anchor_matched,huber,pressure_shape,64,13,41,108.3570954101809,141.0996046154887,81.29170480046173,-0.422078379373219,-55.21482183230006
TS0330A,TS0330F+TS0330G,classical_anchor_matched,huber,fusion_absolute,64,13,41,270.2807107798454,270.6364743847025,274.5543990210494,-4.231721227038694,-270.2807107798454
TS0330A,TS0330F+TS0330G,classical_anchor_matched,huber,fusion_shape,64,13,41,38.71307418773476,44.50547536614416,42.59602741730885,0.8585187695005625,-16.925177063988617
TS0330A,TS0330F+TS0330G,classical_anchor_matched,rf,temperature,64,13,41,40.06667020982262,63.93957337557554,25.37471453179245,0.707980798912596,-38.69730171428901
TS0330A,TS0330F+TS0330G,classical_anchor_matched,rf,pressure_absolute,64,13,41,90.86973308711448,113.42420995760357,77.90241177394353,0.0810678081202043,-19.13041614721705
TS0330A,TS0330F+TS0330G,classical_anchor_matched,rf,pressure_shape,64,13,41,101.96519548161272,155.22074139381243,39.50076859880869,-0.7209626581307345,-85.31831262482105
TS0330A,TS0330F+TS0330G,classical_anchor_matched,rf,fusion_absolute,64,13,41,40.5315997788029,64.17758576232222,25.73191453607257,0.7058026939749301,-35.525179916922184
TS0330A,TS0330F+TS0330G,classical_anchor_matched,rf,fusion_shape,64,13,41,40.44587592509868,65.95639019381754,26.45302137526238,0.6892682025323307,-37.93544000851026
TS0330A,TS0330F+TS0330G,racdiff,huber,temperature,64,13,41,21.036516825834635,25.58959604000199,21.182838156260686,0.953226615076082,-14.351350862757394
TS0330A,TS0330F+TS0330G,racdiff,huber,pressure_absolute,64,13,41,207.5278640620105,243.26339341697755,150.19876657457178,-3.2269339480851738,-207.5278640620105
